CURRENT	MARKER_NUMBER	METHOD	MISSING_DATA	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX	SUBSAMPLE
north	200	ranked_thl_0.5	no.imputation	93	2.13	80	100	90	90	100	90.87	95.13	6
north	300	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	6
north	400	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	6
north	500	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	6
north	1000	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	6
north	15454	ranked_thl_0.5	no.imputation	95	1.67	90	100	95	90	100	93.33	96.67	6
south	50	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	6
south	100	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	6
south	200	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	6
south	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	6
south	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	6
south	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	6
south	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	6
south	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	6
OVERALL	50	ranked_thl_0.5	no.imputation	94.5	2.5	92	97	94.5	93.25	95.75	92	97	6
OVERALL	100	ranked_thl_0.5	no.imputation	95.5	3.5	92	99	95.5	93.75	97.25	92	99	6
OVERALL	200	ranked_thl_0.5	no.imputation	96	3	93	99	96	94.5	97.5	93	99	6
OVERALL	300	ranked_thl_0.5	no.imputation	97	3	94	100	97	95.5	98.5	94	100	6
OVERALL	400	ranked_thl_0.5	no.imputation	97	3	94	100	97	95.5	98.5	94	100	6
OVERALL	500	ranked_thl_0.5	no.imputation	97.5	2.5	95	100	97.5	96.25	98.75	95	100	6
OVERALL	1000	ranked_thl_0.5	no.imputation	97.5	2.5	95	100	97.5	96.25	98.75	95	100	6
OVERALL	15454	ranked_thl_0.5	no.imputation	97.5	2.5	95	100	97.5	96.25	98.75	95	100	6
north	50	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	7
north	100	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	7
north	200	ranked_thl_0.5	no.imputation	94	1.63	90	100	90	90	100	92.37	95.63	7
north	300	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	7
north	400	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	7
north	500	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	7
north	1000	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	7
north	15454	ranked_thl_0.5	no.imputation	93	1.53	90	100	90	90	97.5	91.47	94.53	7
south	50	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	100	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	200	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	300	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	400	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	500	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	1000	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
south	15454	ranked_thl_0.5	no.imputation	97	1.53	90	100	100	92.5	100	95.47	98.53	7
OVERALL	50	ranked_thl_0.5	no.imputation	95	2	93	97	95	94	96	93	97	7
OVERALL	100	ranked_thl_0.5	no.imputation	95.5	1.5	94	97	95.5	94.75	96.25	94	97	7
OVERALL	200	ranked_thl_0.5	no.imputation	95.5	1.5	94	97	95.5	94.75	96.25	94	97	7
OVERALL	300	ranked_thl_0.5	no.imputation	95	2	93	97	95	94	96	93	97	7
OVERALL	400	ranked_thl_0.5	no.imputation	95	2	93	97	95	94	96	93	97	7
OVERALL	500	ranked_thl_0.5	no.imputation	95	2	93	97	95	94	96	93	97	7
OVERALL	1000	ranked_thl_0.5	no.imputation	95	2	93	97	95	94	96	93	97	7
OVERALL	15454	ranked_thl_0.5	no.imputation	95	2	93	97	95	94	96	93	97	7
north	50	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	100	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	200	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	300	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	400	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	500	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	1000	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	8
south	50	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	100	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	200	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	300	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	400	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	500	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	1000	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
south	15454	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	8
OVERALL	50	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	100	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	200	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	300	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	400	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	500	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	1000	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
OVERALL	15454	ranked_thl_0.5	no.imputation	98	2	96	100	98	97	99	96	100	8
north	50	ranked_thl_0.5	no.imputation	95	2.24	80	100	100	90	100	92.76	97.24	9
north	100	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	9
north	200	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	9
north	300	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	9
north	400	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	9
north	500	ranked_thl_0.5	no.imputation	99	1	90	100	100	100	100	98	100	9
north	1000	ranked_thl_0.5	no.imputation	98	1.33	90	100	100	100	100	96.67	99.33	9
north	15454	ranked_thl_0.5	no.imputation	100	0	100	100	100	100	100	100	100	9
south	50	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
south	100	ranked_thl_0.5	no.imputation	96	1.63	90	100	100	90	100	94.37	97.63	9
